6750486342;08/05/2046
7358137220;03/05/1958
6570143295;18/11/2012
4362374984;01/05/2065
3841684259;26/05/2034
7204088483;01/09/1950
6717434830;02/11/1954
9250021807;04/10/1944
3732726440;04/06/2028
1207798552;24/05/2006
3523060726;10/03/1916
0597656958;05/08/1965
5276725273;08/12/1997
8884966766;25/01/1988
4315955717;23/10/1963
6739069787;22/11/2020
1088119238;13/02/2056
1312305386;27/12/1999
5178107009;02/03/2004
3711486424;27/04/1990
2670762184;17/08/2019
7576823677;13/05/2031
6101730847;14/04/2064
2525388015;08/02/2021
3250984164;30/06/1963
2440175491;26/05/2050
0600276000;03/02/1916
4197826340;07/08/2049
6051680620;13/06/2070
8075817955;20/07/1905
1344822858;18/09/1962
7494147134;16/10/1961
4728276498;05/10/1998
0326874678;05/06/1958
0812639069;25/10/1903
8531152999;07/02/1963
0248257509;14/01/2044
4086047404;17/02/2034
1429845834;08/01/1902
1306579001;07/08/1984
4781972475;07/03/1918
1450582305;27/06/1964
2176644557;28/12/2034
1423344765;14/02/1930
8395275999;21/06/1971
4042500955;29/06/1940
9081089077;11/01/1944
1955027194;13/10/1975
3657838688;10/08/1964
6849316491;12/06/2032
2761078610;24/01/1975
4409780133;11/06/2000
3154916580;19/09/1937
8759272585;11/12/1909
6247241819;25/08/2019
4294741522;13/11/2018
5027658664;14/05/1996
6025505431;09/08/2059
0144934804;03/06/1906
0029425510;02/06/2065
1244719842;15/07/2070
6214343415;01/06/2036
8124235145;25/03/2019
1230863711;11/09/1998
9498968431;18/03/2006
9816307387;01/08/1967
0349325012;12/12/2055
9747238531;12/09/1902
5351325392;14/04/1922
9779377108;10/05/2067
5092848168;07/06/1994
7168708796;02/04/1998
5760449301;15/11/1995
1119355947;22/09/2019
1290435345;01/02/1990
4733126409;11/03/1974
9314869799;29/11/2014
9976450427;18/10/2047
1811433031;26/06/2066
0052007156;29/10/2013
4382885438;11/05/1925
7997615601;14/11/2000
6542534514;20/02/2008
5000561525;16/05/1962
8902030567;24/03/1926
1637235822;23/12/2012
0413773715;05/09/1949
9739055554;07/01/2054
5052650693;12/09/2039
7996470546;18/07/1957
1099712060;10/05/1921
2239594781;19/04/1928
2010948757;11/02/2020
8190746965;30/05/1949
8154535875;31/12/2020
1673580119;04/07/2068
